year,county,num_vehicle,county
2010,Los Angeles,49017,1
2010,Los Angeles,92770,1
2010,Los Angeles,103203,1
2010,Los Angeles,5286329,1
2010,Madera,2,1
2010,Madera,8,1
2010,Madera,546,1
2010,Madera,1843,1
2010,Madera,3317,1
2010,Madera,72963,1
2010,Marin,3,1
2010,Marin,15,1
2010,Marin,50,1
2010,Marin,1661,1
2010,Marin,3102,1
2010,Marin,8447,1
2010,Marin,161046,1
2010,Mariposa,1,1
2010,Mariposa,2,1
2010,Mariposa,151,1
2010,Mariposa,247,1
2010,Mariposa,1058,1
2010,Mariposa,14142,1
2010,Mendocino,3,1
2010,Mendocino,4,1
2010,Mendocino,962,1
2010,Mendocino,1108,1
2010,Mendocino,4760,1
2010,Mendocino,59583,1
2010,Merced,2,1
2010,Merced,7,1
2010,Merced,826,1
2010,Merced,2992,1
2010,Merced,4459,1
2010,Merced,124676,1
2010,Modoc,1,1
2010,Modoc,25,1
2010,Modoc,128,1
2010,Modoc,856,1
2010,Modoc,5556,1
2010,Mono,90,1
2010,Mono,160,1
2010,Mono,585,1
2010,Mono,8665,1
2010,Monterey,1,1
2010,Monterey,13,1
2010,Monterey,15,1
2010,Monterey,3478,1
2010,Monterey,4696,1
2010,Monterey,5868,1
2010,Monterey,227776,1
2010,Napa,1,1
2010,Napa,2,1
2010,Napa,3,1
2010,Napa,7,1
2010,Napa,1504,1
2010,Napa,2092,1
2010,Napa,3075,1
2010,Napa,83801,1
2010,Nevada,3,1
2010,Nevada,6,1
2010,Nevada,931,1
2010,Nevada,1182,1
2010,Nevada,4560,1
2010,Nevada,67350,1
2010,Orange,1,1
2010,Orange,2,1
2010,Orange,8,1
2010,Orange,29,1
2010,Orange,35,1
2010,Orange,804,1
2010,Orange,22603,1
2010,Orange,31371,1
2010,Orange,31421,1
2010,Orange,1780051,1
2010,Out Of State,2,1
2010,Out Of State,3,1
2010,Out Of State,6,2
2010,Out Of State,16,1
2010,Out Of State,4060,1
2010,Out Of State,6387,1
2010,Out Of State,47809,1
2010,Out Of State,341895,1
2010,Placer,2,1
2010,Placer,3,1
2010,Placer,11,1
2010,Placer,14,1
2010,Placer,4036,1
2010,Placer,4558,1
2010,Placer,9278,1
2010,Placer,223181,1
2010,Plumas,77,1
2010,Plumas,251,1
2010,Plumas,1414,1
2010,Plumas,15658,1
2010,Riverside,1,1
2010,Riverside,3,1
2010,Riverside,27,1
2010,Riverside,248,1
2010,Riverside,12516,1
2010,Riverside,24961,1
2010,Riverside,28541,1
2010,Riverside,1137102,1
2010,Sacramento,2,1
2010,Sacramento,4,1
2010,Sacramento,48,1
2010,Sacramento,70,1
2010,Sacramento,10759,1
2010,Sacramento,12974,1
2010,Sacramento,16290,1
2010,Sacramento,767773,1
2010,San Benito,1,2
2010,San Benito,2,1
2010,San Benito,427,1
2010,San Benito,820,1
2010,San Benito,1646,1
2010,San Benito,32388,1
2010,San Bernardino,1,1
2010,San Bernardino,3,1
2010,San Bernardino,36,1
2010,San Bernardino,174,1
2010,San Bernardino,9228,1
2010,San Bernardino,23688,1
2010,San Bernardino,24737,1
2010,San Bernardino,1066079,1
2010,San Diego,2,1
2010,San Diego,27,1
2010,San Diego,212,1
2010,San Diego,360,1
2010,San Diego,31445,1
2010,San Diego,33567,1
2010,San Diego,33574,1
2010,San Diego,1821093,1
2010,San Francisco,24,1
2010,San Francisco,101,1
2010,San Francisco,225,1
2010,San Francisco,2777,1
2010,San Francisco,3080,1
2010,San Francisco,14081,1
